source;target;weight
0;6;94.28
0;8;26.98
0;10;35.95
0;11;15.42
0;20;46.07
0;28;36.02
0;30;21.47
0;35;42.93
0;37;35.10
0;38;11.54
0;40;64.98
0;47;34.82
0;51;2.72
0;54;68.15
0;64;60.89
0;68;11.42
0;73;22.38
0;76;78.07
0;78;5.46
0;80;82.37
0;81;13.98
0;87;58.93
0;89;94.16
0;93;20.29
0;98;28.40
1;4;97.19
1;6;90.92
1;13;40.78
1;17;65.98
1;19;4.59
1;20;13.66
1;24;14.04
1;32;61.12
1;36;74.09
1;43;20.94
1;45;19.15
1;46;50.09
1;50;25.34
1;51;3.68
1;53;29.64
1;56;91.23
1;57;11.29
1;64;52.85
1;66;10.07
1;69;73.24
1;72;53.50
1;73;34.09
1;74;52.55
1;78;87.44
1;83;83.44
1;90;92.61
1;91;16.67
1;92;82.52
1;99;72.18
2;4;24.88
2;6;26.59
2;12;16.09
2;15;32.04
2;17;89.10
2;28;23.25
2;40;98.01
2;41;41.68
2;46;31.39
2;48;60.08
2;52;23.95
2;55;38.18
2;59;22.74
2;60;56.11
2;61;82.03
2;66;74.04
2;68;44.45
2;70;21.33
2;71;79.88
2;72;10.19
2;75;39.13
2;77;38.67
2;78;94.97
2;79;85.12
2;82;72.58
2;88;6.24
2;90;54.16
2;95;86.10
2;96;97.65
2;97;26.66
2;98;37.17
3;5;52.04
3;10;66.47
3;15;49.64
3;21;12.43
3;24;46.55
3;25;73.16
3;27;38.77
3;31;48.42
3;33;6.29
3;34;2.46
3;37;60.68
3;38;77.30
3;42;58.63
3;52;69.92
3;53;12.27
3;56;67.33
3;57;82.94
3;58;27.09
3;66;79.69
3;67;71.37
3;76;79.01
3;84;35.29
3;90;41.66
4;1;97.19
4;2;24.88
4;6;9.54
4;7;26.38
4;9;56.84
4;10;74.27
4;13;6.68
4;15;97.00
4;17;72.71
4;20;79.90
4;21;26.23
4;22;88.66
4;25;53.63
4;26;52.74
4;31;5.94
4;34;41.96
4;35;98.87
4;44;43.70
4;45;39.34
4;47;13.05
4;48;18.04
4;49;44.94
4;51;35.46
4;52;83.50
4;57;62.68
4;67;22.19
4;68;6.41
4;72;7.81
4;75;5.62
4;78;25.76
4;79;81.25
4;85;93.34
4;87;40.74
4;95;65.72
4;98;95.85
5;3;52.04
5;7;99.88
5;13;12.84
5;15;70.63
5;21;47.26
5;27;48.02
5;29;68.51
5;31;60.47
5;32;90.46
5;36;25.34
5;37;75.70
5;40;89.86
5;48;98.96
5;60;13.80
5;61;9.53
5;62;21.39
5;64;49.49
5;66;5.41
5;67;34.47
5;72;21.04
5;74;65.03
5;75;65.18
5;78;53.04
5;79;95.28
5;81;17.26
5;82;5.09
5;94;17.74
5;95;4.03
6;0;94.28
6;1;90.92
6;2;26.59
6;4;9.54
6;7;95.41
6;8;24.18
6;16;12.49
6;17;22.53
6;20;56.04
6;23;77.48
6;27;78.57
6;32;79.70
6;34;48.93
6;35;70.23
6;36;31.93
6;37;10.12
6;39;32.40
6;43;67.98
6;50;85.46
6;52;97.81
6;53;19.21
6;60;81.78
6;66;76.45
6;76;5.96
6;78;73.80
6;86;66.56
6;87;83.95
6;94;87.14
6;95;19.92
6;97;80.19
7;4;26.38
7;5;99.88
7;6;95.41
7;9;62.96
7;12;26.67
7;14;15.09
7;22;46.48
7;23;10.36
7;26;85.86
7;31;4.50
7;43;31.44
7;45;7.10
7;46;19.71
7;49;32.41
7;51;87.91
7;52;47.78
7;54;17.58
7;56;30.98
7;58;82.51
7;64;97.78
7;66;59.86
7;68;51.69
7;72;24.96
7;75;45.24
7;78;59.92
7;87;9.56
7;90;19.46
7;91;15.35
7;93;16.75
7;95;51.19
8;0;26.98
8;6;24.18
8;9;53.41
8;10;42.55
8;12;84.85
8;13;49.76
8;14;3.04
8;17;95.41
8;19;13.55
8;28;50.14
8;30;52.99
8;32;43.82
8;33;29.42
8;44;16.94
8;51;58.99
8;56;83.21
8;57;62.77
8;61;91.25
8;63;55.06
8;64;21.37
8;65;96.59
8;81;91.79
8;82;76.38
8;83;79.78
8;90;28.71
9;4;56.84
9;7;62.96
9;8;53.41
9;17;73.14
9;20;8.79
9;25;17.80
9;29;37.85
9;37;72.34
9;38;60.15
9;46;70.06
9;55;83.75
9;62;19.83
9;66;37.70
9;73;25.61
9;74;16.01
9;77;42.89
9;78;29.71
9;79;53.20
9;82;8.25
9;84;81.17
9;86;56.28
9;87;55.69
9;89;70.40
9;91;65.12
9;95;56.89
9;96;67.15
9;98;94.12
10;0;35.95
10;3;66.47
10;4;74.27
10;8;42.55
10;11;66.86
10;15;97.21
10;17;78.38
10;23;97.73
10;24;83.94
10;25;29.91
10;28;19.64
10;29;64.65
10;35;59.17
10;36;69.36
10;47;77.53
10;49;23.41
10;51;61.99
10;52;9.96
10;56;60.11
10;58;90.92
10;64;26.73
10;70;17.36
10;74;14.44
10;78;37.04
10;82;11.73
10;87;11.74
10;88;42.30
10;92;61.33
10;93;48.53
10;94;7.35
11;0;15.42
11;10;66.86
11;12;56.48
11;20;23.00
11;21;85.05
11;23;75.95
11;26;55.29
11;27;8.25
11;37;74.67
11;39;27.73
11;40;43.83
11;44;47.14
11;45;38.00
11;46;74.82
11;47;11.65
11;48;92.21
11;56;76.66
11;57;61.77
11;60;97.47
11;67;34.16
11;70;89.56
11;72;8.84
11;74;3.63
11;76;4.90
11;82;39.99
11;85;74.78
11;89;20.74
11;90;12.52
11;93;87.50
11;95;46.87
11;98;80.17
12;2;16.09
12;7;26.67
12;8;84.85
12;11;56.48
12;16;21.06
12;20;99.31
12;22;59.53
12;26;69.94
12;31;28.99
12;33;3.60
12;41;54.50
12;43;1.71
12;44;48.93
12;45;10.99
12;47;59.87
12;55;88.16
12;62;73.25
12;63;31.26
12;67;14.25
12;71;15.16
12;72;25.92
12;73;16.53
12;75;68.95
12;76;12.83
12;77;79.45
12;79;86.27
12;81;58.52
12;82;70.77
12;84;81.33
12;86;67.40
12;88;89.90
12;90;5.68
12;92;58.30
12;96;72.11
12;97;79.89
12;98;60.81
13;1;40.78
13;4;6.68
13;5;12.84
13;8;49.76
13;15;79.84
13;20;97.63
13;21;76.33
13;25;82.90
13;26;53.94
13;27;57.05
13;28;30.02
13;29;98.05
13;37;35.79
13;42;5.09
13;43;99.52
13;46;19.01
13;47;97.32
13;48;72.32
13;53;68.31
13;63;48.92
13;66;33.22
13;72;50.99
13;73;40.41
13;74;18.03
13;75;91.83
13;76;77.10
13;77;15.01
13;78;66.87
13;89;57.46
13;93;94.68
13;98;56.18
13;99;41.31
14;7;15.09
14;8;3.04
14;15;31.59
14;16;14.99
14;17;92.75
14;18;44.85
14;27;10.02
14;29;13.71
14;35;64.84
14;38;40.24
14;40;25.83
14;41;33.89
14;42;97.76
14;45;76.74
14;47;86.17
14;50;24.18
14;53;61.73
14;56;47.23
14;57;67.78
14;60;32.38
14;74;56.45
14;75;55.79
14;76;1.87
14;78;3.19
14;82;59.37
14;83;46.79
14;88;61.72
14;89;10.32
14;90;29.18
14;93;97.04
14;97;5.36
15;2;32.04
15;3;49.64
15;4;97.00
15;5;70.63
15;10;97.21
15;13;79.84
15;14;31.59
15;19;55.29
15;26;5.55
15;28;34.65
15;29;59.99
15;31;21.35
15;32;70.56
15;35;88.62
15;38;34.87
15;40;31.05
15;46;99.34
15;47;4.94
15;50;57.28
15;55;46.61
15;57;39.48
15;64;29.30
15;70;48.55
15;73;70.63
15;74;58.51
15;83;65.20
15;84;63.31
15;92;96.29
15;93;34.82
15;94;83.64
15;95;56.77
16;6;12.49
16;12;21.06
16;14;14.99
16;17;19.69
16;20;34.88
16;22;38.38
16;24;24.76
16;26;4.89
16;27;31.37
16;33;70.10
16;35;56.53
16;36;66.56
