1;22;93;24;73;6;36;75;25;91;27;99;3;46
2;70;85;8
3;1
4;21;39
5;65
6;1
7;34
8;2
9;89
10;69
11;46;63;66;19;95
12;97
13;83
14;65
15;78;57
16;57;74;49;28;89
17;69
18;69
19;11
20;46
21;44;4;33;42
22;1
23;70
24;1
25;1
26;83
27;1
28;16
29;100
30;59;79;44
31;95
32;90
33;21
34;58;7
35;95
36;1
37;78
38;42
39;4
40;44
41;42;71
42;21;80;50;41;52;38;84
43;83;100
44;30;98;47;40;96;54;21
45;65;83
46;1;68;61;20;48;11
47;44
48;46
49;16
50;42
51;83
52;42
53;65
54;44
55;69
56;59
57;15;16
58;89;34;88
59;83;81;77;56;86;30
60;97
61;46
62;69
63;11
64;83
65;97;53;5;94;14;45
66;11
67;88
68;46
69;95;10;17;18;82;62;55;97
70;74;2;23
71;41
72;97
73;1
74;16;90;70
75;1
76;92
77;59
78;84;37;15
79;30
80;42
81;59
82;69
83;45;51;92;26;64;13;43;59
84;42;78
85;2
86;59
87;90
88;58;67
89;16;9;58
90;74;87;32
91;1
92;83;76
93;1
94;65
95;11;31;35;69
96;44
97;69;60;12;72;65
98;44
99;1
100;43;29
