1;6;8;11;12;13;14;15;19;21;22;23;24;26;28;30;32;33;34;35;37;39;41;42;43;44;45;46;47;48;50;52;53;56;57;58;59;60;62;64;66;68;71;72;75;78;80;82;83;84;85;86;87;88;89;92;93;94;95;97;98;100
2;6
3;8
4;8
5;6
6;1;2;5;7;9;16;17;18;25;27;29;36;38;40;49;51;61;67;69;74;77;79;90;96;99
7;6
8;1;3;4;10;31;54;55;65;70;76;81
9;6
10;8
11;1;20;63;73
12;1;91
13;1
14;1
15;1
16;6
17;6
18;6
19;1
20;11
21;1
22;1
23;1
24;1
25;6
26;1
27;6
28;1
29;6
30;1
31;8
32;1
33;1
34;1
35;1
36;6
37;1
38;6
39;1
40;6
41;1
42;1
43;1
44;1
45;1
46;1
47;1
48;1
49;6
50;1
51;6
52;1
53;1
54;8
55;8
56;1
57;1
58;1
59;1
60;1
61;6
62;1
63;11
64;1
65;8
66;1
67;6
68;1
69;6
70;8
71;1
72;1
73;11
74;6
75;1
76;8
77;6
78;1
79;6
80;1
81;8
82;1
83;1
84;1
85;1
86;1
87;1
88;1
89;1
90;6
91;12
92;1
93;1
94;1
95;1
96;6
97;1
98;1
99;6
100;1
