1;3;7;8;12;17;21;29;38;52;58;61;62;63;66;74;78;97
2;65;9;16;20;23;42;72
3;1
4;51
5;91
6;39
7;1
8;1
9;2
10;39
11;51
12;1
13;97
14;56
15;99
16;2
17;1
18;77;88
19;80
20;2
21;1
22;91
23;2
24;97
25;89
26;39
27;91
28;56;83
29;1
30;99
31;100
32;95
33;98
34;51
35;78
36;53
37;100;43;47;73;90;98
38;1
39;98;6;10;26;49;54;82;91
40;80
41;89
42;2
43;37
44;97
45;89
46;97
47;37
48;97
49;39
50;80
51;83;4;11;34;75;96
52;1
53;78;36;59;64
54;39
55;99
56;77;14;28
57;93
58;1
59;53
60;89
61;1
62;1
63;1
64;53
65;89;2
66;1
67;97
68;84
69;94
70;91
71;97
72;2;94
73;37
74;1
75;51
76;99
77;91;18;56
78;1;35;53
79;96
80;96;19;40;50;85;95
81;94
82;39
83;28;51
84;95;68;92
85;80
86;93
87;97
88;18
89;99;25;41;45;60;65
90;37
91;39;5;22;27;70;77
92;84
93;94;57;86;100
94;72;69;81;93
95;80;32;84
96;51;79;80
97;1;13;24;44;46;48;67;71;87;99
98;37;33;39
99;97;15;30;55;76;89
100;93;31;37
