1;3;7;8;12;17;21;29;38;52;58;61;62;63;66;74;78;97
2;41;16;23;42
3;1;13;24;44;46;48;67;71;87;99
4;6;11;34;51
5;7
6;58;4;96
7;1;5;10;18;26;54;77;88;91
8;1;39;82
9;41
10;7;27
11;4
12;1
13;3;15;55;76
14;56;83
15;13
16;2
17;1;35;36;53;59;64
18;7
19;79
20;45
21;1;30
22;58
23;2
24;3
25;46
26;7
27;10;75
28;56
29;1
30;21
31;90;81
32;40
33;39;43;79;80
34;4
35;17
36;17
37;47;100
38;1
39;8;33;47;73;90;98
40;43;32
41;46;2;9
42;2
43;33;40;57;68;85;95
44;3
45;89;20;69;72;94
46;3;25;41;65
47;39;37
48;3
49;54
50;79
51;4
52;1
53;17
54;7;49
55;13
56;77;14;28
57;43;86
58;1;6;22;70
59;17
60;89
61;1
62;1
63;1
64;17
65;46
66;1
67;3
68;43;92
69;45;93
70;58
71;3
72;45
73;39
74;1;89
75;27
76;13
77;7;56
78;1
79;33;19;50;84
80;33
81;31
82;8
83;14
84;79
85;43
86;57
87;3
88;7
89;74;45;60
90;39;31
91;7
92;68
93;69
94;45
95;43
96;6
97;1
98;39
99;3
100;37
