1;21
2;24;6
3;4;5
4;53;3
5;3;9
6;2;8
7;20;26
8;6;11
9;5;10
10;9;16
11;8;14
12;41;13
13;12;17
14;11;19
15;64;33
16;10;50
17;13;43
18;61;25
19;14;30
20;43;7
21;1;28
22;29;34
23;56;57
24;27;2
25;18;38
26;7;46
27;32;24
28;21;32
29;52;22
30;19;41
31;34;64
32;28;27
33;15;35
34;22;31
35;33;42
36;65;37
37;36;54
38;25;53
39;66;71
40;110;49
41;30;12
42;35;47
43;17;20
44;49;55
45;99;62
46;26;61
47;42;48
48;47;51
49;40;44
50;16;52
51;48;76
52;50;29
53;38;4
54;37;58
55;44;56
56;55;23
57;23;83
58;54;63
59;70;88
60;88;77
61;46;18
62;45;67
63;58;68
64;31;15
65;72;36
66;92;39
67;62;70
68;63;110
69;100;75
70;67;59
71;39;82
72;80;65
73;85;100
74;77;84
75;69;79
76;51;80
77;60;74
78;133;94
79;75;81
80;76;72
81;79;86
82;71;85
83;57;96
84;74;90
85;82;73
86;81;103
87;107;91
88;59;60
89;121;112
90;84;97
91;87;120
92;105;66
93;117;119
94;78;115
95;96;99
96;83;95
97;90;107
98;125;109
99;95;45
100;73;69
101;120;102
102;101;118
103;86;104
104;103;140
105;128;92
106;140;142
107;97;87
108;159;130
109;98;111
110;68;40
111;109;116
112;89;126
113;115;134
114;119;123
115;94;113
116;111;131
117;146;93
118;102;124
119;93;114
120;91;101
121;124;89
122;126;157
123;114;132
124;118;121
125;152;98
126;112;122
127;132;155
128;150;105
129;137;163
130;108;149
131;116;160
132;123;127
133;142;78
134;113;145
135;155;153
136;157;141
137;149;129
138;153;147
139;169;164
140;104;106
141;136;144
142;106;133
143;197;146
144;141;152
145;134;169
146;143;117
147;138;156
148;187;151
149;130;137
150;179;128
151;148;165
152;144;125
153;135;138
154;156;158
155;127;135
156;147;154
157;122;136
158;154;166
159;161;108
160;131;264
161;200;159
162;266;172
163;129;173
164;139;197
165;151;174
166;158;168
167;194;246
168;166;177
169;145;139
170;212;219
171;193;175
172;162;179
173;163;185
174;165;180
175;171;176
176;175;183
177;168;190
178;259;182
179;172;150
180;174;184
181;213;194
182;178;189
183;176;211
184;180;225
185;173;202
186;192;196
187;202;148
188;239;230
189;182;207
190;177;191
191;190;205
192;219;186
193;237;171
194;181;167
195;255;199
196;186;198
197;164;143
198;196;201
199;195;221
200;244;161
201;198;204
202;185;187
203;210;229
204;201;240
205;191;206
206;205;213
207;189;244
208;240;215
209;221;217
210;226;203
211;183;259
212;214;170
213;206;181
214;216;212
215;208;226
216;225;214
217;209;241
218;236;223
219;170;192
220;241;237
221;199;209
222;232;242
223;218;228
224;288;260
225;184;216
226;215;210
227;274;245
228;223;231
229;203;234
230;188;247
231;228;239
232;235;222
233;251;243
234;229;236
235;253;232
236;234;218
237;220;193
238;267;279
239;231;188
240;204;208
241;217;220
242;222;263
243;233;283
244;207;200
245;227;275
246;167;255
247;230;257
248;250;253
249;283;250
250;249;248
251;257;233
252;315;262
253;248;235
254;258;282
255;246;195
256;303;276
257;247;251
258;286;254
259;211;178
260;224;324
261;275;271
262;252;273
263;242;272
264;160;265
265;264;266
266;265;162
267;272;238
268;273;270
269;294;302
270;268;285
271;261;284
272;263;267
273;262;268
274;279;227
275;245;261
276;256;312
277;278;290
278;287;277
279;238;274
280;301;325
281;310;291
282;254;289
283;243;249
284;271;307
285;270;295
286;325;258
287;322;278
288;292;224
289;282;298
290;277;296
291;281;308
292;305;288
293;298;299
294;299;269
295;285;310
296;290;301
297;304;306
298;289;293
299;293;294
300;323;311
301;296;280
302;269;319
303;324;256
304;343;297
305;308;292
306;297;314
307;284;315
308;291;305
309;330;326
310;295;281
311;300;332
312;276;333
313;328;354
314;306;316
315;307;252
316;314;347
317;347;335
318;335;321
319;302;328
320;364;353
321;318;344
322;333;287
323;340;300
324;260;303
325;280;286
326;309;349
327;345;339
328;319;313
329;373;355
330;352;309
331;350;352
332;311;342
333;312;322
334;376;358
335;317;318
336;360;356
337;338;341
338;349;337
339;327;346
340;348;323
341;337;343
342;332;367
343;341;304
344;321;348
345;411;327
346;339;361
347;316;317
348;344;340
349;326;338
350;354;331
351;368;373
352;331;330
353;320;359
354;313;350
355;329;383
356;336;357
357;356;379
358;334;371
359;353;362
360;371;336
361;346;368
362;359;387
363;377;404
364;375;320
365;405;366
366;365;412
367;342;369
368;361;351
369;367;370
370;369;403
371;358;360
372;396;392
373;351;329
374;449;385
375;382;364
376;378;334
377;398;363
378;403;376
379;357;381
380;419;407
381;379;390
382;386;375
383;355;389
384;388;391
385;374;461
386;392;382
387;362;388
388;387;384
389;383;396
390;381;398
391;384;402
392;372;386
393;429;394
394;393;436
395;407;397
396;389;372
397;395;400
398;390;377
399;418;435
400;397;409
401;431;410
402;391;419
403;370;378
404;363;417
405;420;365
406;453;421
407;380;395
408;435;431
409;400;416
410;401;429
411;417;345
412;366;413
413;412;418
414;456;430
415;464;422
416;409;428
417;404;411
418;413;399
419;402;380
420;428;405
421;406;445
422;415;423
423;422;432
424;430;443;474
425;469
426;433;466;469;494
427;439;464
428;416;420
429;410;393
430;414;424
431;408;401
432;423;472
433;443;426
434;465;452
435;399;408
436;394;437
437;436;438
438;437;440
439;451;427
440;438;444
441;468;460
442;458;453
443;424;433
444;440;446
445;421;448
446;444;447
447;446;451
448;445;449
449;448;374
450;494;463
451;447;439
452;434;467
453;442;406
454;499;455
455;454;482
456;480;414
457;470;459
458;463;442
459;457;495
460;441;462
461;385;485;489
462;460;470;498
463;450;458
464;427;415
465;472;434
466;426
467;452;478
468;496;441
469;426;425
470;462;457
471;487;491
472;432;465
473;493;475
474;424;484
475;473;476;479
476;475;481
477;485;499
478;467;480
479;475
480;478;456
481;476
482;455;490
483;495;492
484;474;486
485;461;477
486;484;488
487;492;471
488;486;500
489;461
490;482;496
491;471;497
492;483;487
493;500;473
494;426;450
495;459;483
496;490;468
497;491
498;462
499;477;454
500;488;493
