1;22;3
2;70;85
3;1
4;39;88
5;92;65
6;23;56
7;98;41
8;54;91
9;38;89
10;69;27
11;63;66
12;97;13;26
13;12;93
14;15;58
15;68;14;57
16;51;60
17;27
18;60;69
19;66;72
20;28;83
21;33;42
22;1;86
23;55;6
24;34;97
25;31;75
26;12
27;10;73;45;17
28;53;20
29;100
30;79
31;87;25
32;52;62
33;41;21
34;58;24;37
35;61;96
36;54;95
37;34;78
38;72;9
39;96;4
40;84
41;7;33
42;21;92
43;100;84
44;47;98
45;27
46;68;48
47;67;44
48;46;76;79
49;81
50;75;71
51;83;16
52;81;32;77
53;65;28
54;80;36;8
55;75;23
56;6;59
57;15
58;14;34
59;56;81
60;16;18
61;89;35
62;32;70
63;94;11
64;100;82
65;5;53
66;11;19
67;88;47
68;85;46;15
69;18;10
70;62;2
71;50
72;19;38
73;27;74
74;73;90
75;25;55;50
76;48
77;52
78;37;80
79;48;30
80;78;54
81;59;52;49
82;64
83;20;51
84;43;40
85;2;68
86;22;94
87;90;31
88;4;67
89;9;61
90;74;87
91;8;99
92;42;5
93;13
94;86;63
95;36
96;35;39
97;24;12
98;44;7
99;91;100
100;99;43;64;29
