1;56
2;22;25
3;43;19
4;34;70
5;25;26
6;15;32
7;56;42
8;11;15
9;105;27
10;12;38
11;42;8
12;16;10
13;38;39
14;88;87
15;8;6
16;32;12
17;26;33
18;55;24
19;3;45
20;39;49
21;77;95
22;29;2
23;36;30
24;18;60
25;2;5
26;5;17
27;9;35
28;37;47
29;45;22
30;23;86
31;54;36
32;6;16
33;17;37
34;35;4
35;27;34
36;31;23
37;33;28
38;10;13
39;13;20
40;68;73
41;95;91
42;7;11
43;60;3
44;108;132
45;19;29
46;103;78
47;28;57
48;94;102
49;20;105
50;64;69
51;72;110
52;101;54
53;159;59
54;52;31
55;70;18
56;1;7
57;47;81
58;78;65
59;53;77
60;24;43
61;81;71
62;91;76
63;89;167
64;84;50
65;58;113
66;87;94
67;83;101
68;109;40
69;50;83
70;4;55
71;61;93
72;73;51
73;40;72
74;113;80
75;137;143
76;62;109
77;59;21
78;46;58
79;124;82
80;74;124
81;57;61
82;79;116
83;69;67
84;102;64
85;86;159
86;30;85
87;14;66
88;93;14
89;130;63
90;107;131
91;41;62
92;122;169
93;71;88
94;66;48
95;21;41
96;120;111
97;141;170
98;110;125
99;136;165
100;112;106
101;67;52
102;48;84
103;128;46
104;127;112
105;49;9
106;100;134
107;123;90
108;116;44
109;76;68
110;51;98
111;96;119
112;104;100
113;65;74
114;132;127
115;187;162
116;82;108
117;212;202
118;139;121
119;111;172
120;131;96
121;118;137
122;167;92
123;134;107
124;80;79
125;98;128
126;153;144
127;114;104
128;125;103
129;142;161
130;143;89
131;90;120
132;44;114
133;140;152
134;106;123
135;165;171
136;169;99
137;121;75
138;154;140
139;172;118
140;138;133
141;146;97
142;149;129
143;75;130
144;126;149
145;173;210
146;152;141
147;162;148
148;147;183
149;144;142
150;210;168
151;179;214
152;133;146
153;160;126
154;156;138
155;195;157
156;161;154
157;155;158
158;157;164
159;85;53
160;171;153
161;129;156
162;115;147
163;196;193
164;158;192
165;99;135
166;186;188
167;63;122
168;150;175
169;92;136
170;97;187
171;135;160
172;119;139
173;183;145
174;182;217
175;168;184
176;240;208
177;188;190
178;270;275
179;192;151
180;278;205
181;189;224
182;225;174
183;148;173
184;175;212
185;197;211
186;224;166
187;170;115
188;166;177
189;217;181
190;177;191
191;190;251
192;164;179
193;163;225
194;218;203
195;198;155
196;214;163
197;228;185
198;200;195
199;289;246
200;202;198
201;242;289
202;117;200
203;194;232
204;232;240
205;180;266
206;211;229
207;252;281
208;176;209
209;208;253
210;145;150
211;185;206
212;184;117
213;256;244
214;151;196
215;229;245
216;244;247
217;174;189
218;222;194
219;230;303
220;273;227
221;237;295
222;251;218
223;250;269
224;181;186
225;193;182
226;266;235
227;220;262
228;253;197
229;206;215
230;249;219
231;236;274
232;203;204
233;257;264
234;296;265
235;226;236
236;235;231
237;264;221
238;268;261
239;303;315
240;204;176
241;259;277
242;245;201
243;294;292
244;213;216
245;215;242
246;199;252
247;216;278
248;261;288
249;265;230
250;291;223
251;191;222
252;246;207
253;209;228
254;258;263
255;279;305
256;262;213
257;263;233
258;277;254
259;275;241
260;316;311
261;238;248
262;227;256
263;254;257
264;233;237
265;234;249
266;205;226
267;332;279
268;271;238
269;223;270
270;269;178
271;315;268
272;329;350
273;281;220
274;231;291
275;178;259
276;312;293
277;241;258
278;247;180
279;267;255
280;286;332
281;207;273
282;311;312
283;318;326
284;287;310
285;298;286
286;285;280
287;305;284
288;248;301
289;201;199
290;302;321
291;274;250
292;243;313
293;276;307
294;308;243
295;221;296
296;295;234
297;357;322
298;301;285
299;307;308
300;346;357
301;288;298
302;304;290
303;219;239
304;328;302
305;255;287
306;325;324
307;293;299
308;299;294
309;313;323
310;284;316
311;260;282
312;282;276
313;292;309
